round_no, 20
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1.478s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=235.87.20.226,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.389s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=18.129.2.108,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.652s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=251.74.128.4,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.979s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=206.176.124.190,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.936s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=232.31.221.245,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.676s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=221.103.224.67,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.226s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=102.35.102.221,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.271s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=208.246.52.90,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.026s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=54.192.89.250,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.761s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=12.103.84.20,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.095s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=172.190.66.93,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.368s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=129.216.238.89,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.223s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=90.4.35.103,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.531s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=153.55.14.66,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
