round_no, 1
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1.19s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=62:d0:1d:af:00:64,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.4,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=48682 actions=output:1
 cookie=0x0, duration=1.184s, table=0, n_packets=6, n_bytes=424, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=46558,tp_dst=9000 actions=output:2
 cookie=0x0, duration=1.195s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=fa:86:9c:ff:89:18,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.5,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=56436 actions=output:1
 cookie=0x0, duration=1.185s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=2,vlan_tci=0x0000,dl_src=0e:c5:06:cb:ad:47,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=46558 actions=output:1
round_no, 2
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=3.006s, table=0, n_packets=78, n_bytes=88764, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=35091,tp_dst=8999 actions=output:4
 cookie=0x0, duration=3.003s, table=0, n_packets=71, n_bytes=80798, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=c6:ce:98:87:f7:03,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=35515,tp_dst=8999 actions=output:7
 cookie=0x0, duration=1.168s, table=0, n_packets=347, n_bytes=514601, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=52740,tp_dst=8999 actions=output:8
 cookie=0x0, duration=1.175s, table=0, n_packets=349, n_bytes=517567, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=38683,tp_dst=8999 actions=output:5
 cookie=0x0, duration=3.005s, table=0, n_packets=76, n_bytes=86488, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=50037,tp_dst=8999 actions=output:6
 cookie=0x0, duration=2.88s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=6,vlan_tci=0x0000,dl_src=2e:56:b8:88:70:49,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.6,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=49638 actions=output:1
 cookie=0x0, duration=2.877s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=1e:99:e0:6c:f8:b5,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.8,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42968 actions=output:1
 cookie=0x0, duration=1.167s, table=0, n_packets=346, n_bytes=513118, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=44038,tp_dst=8999 actions=output:4
 cookie=0x0, duration=1.205s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48700,tp_dst=9000 actions=output:4
 cookie=0x0, duration=1.206s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=49662,tp_dst=9000 actions=output:6
 cookie=0x0, duration=1.203s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:84:dc:55:7c:95,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,tp_src=38668,tp_dst=9000 actions=output:3
 cookie=0x0, duration=1.21s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=1e:99:e0:6c:f8:b5,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.8,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42982 actions=output:1
 cookie=0x0, duration=3.003s, table=0, n_packets=75, n_bytes=85350, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=48280,tp_dst=8999 actions=output:5
 cookie=0x0, duration=3.012s, table=0, n_packets=84, n_bytes=95592, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:84:dc:55:7c:95,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,tp_src=35744,tp_dst=8999 actions=output:3
 cookie=0x0, duration=1.208s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=fa:86:9c:ff:89:18,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.5,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=56454 actions=output:1
 cookie=0x0, duration=2.872s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=fa:86:9c:ff:89:18,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.5,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=56436 actions=output:1
 cookie=0x0, duration=1.168s, table=0, n_packets=347, n_bytes=514601, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=c6:ce:98:87:f7:03,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=49379,tp_dst=8999 actions=output:7
 cookie=0x0, duration=1.206s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=6,vlan_tci=0x0000,dl_src=2e:56:b8:88:70:49,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.6,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=49662 actions=output:1
 cookie=0x0, duration=2.91s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=56436,tp_dst=9000 actions=output:5
 cookie=0x0, duration=3.003s, table=0, n_packets=75, n_bytes=85350, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=53145,tp_dst=8999 actions=output:8
 cookie=0x0, duration=2.919s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=49638,tp_dst=9000 actions=output:6
 cookie=0x0, duration=1.204s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=62:d0:1d:af:00:64,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.4,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=48700 actions=output:1
 cookie=0x0, duration=1.169s, table=0, n_packets=347, n_bytes=514601, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:84:dc:55:7c:95,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,tp_src=37801,tp_dst=8999 actions=output:3
 cookie=0x0, duration=2.885s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=7,vlan_tci=0x0000,dl_src=c6:ce:98:87:f7:03,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42990 actions=output:1
 cookie=0x0, duration=3.004s, table=0, n_packets=78, n_bytes=88764, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=44990,tp_dst=8999 actions=output:2
 cookie=0x0, duration=1.2s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=2,vlan_tci=0x0000,dl_src=0e:c5:06:cb:ad:47,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=46578 actions=output:1
 cookie=0x0, duration=2.865s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=3,vlan_tci=0x0000,dl_src=1e:84:dc:55:7c:95,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=38652 actions=output:1
 cookie=0x0, duration=2.917s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=42968,tp_dst=9000 actions=output:8
 cookie=0x0, duration=2.918s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48682,tp_dst=9000 actions=output:4
 cookie=0x0, duration=1.211s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=42982,tp_dst=9000 actions=output:8
 cookie=0x0, duration=1.165s, table=0, n_packets=345, n_bytes=511635, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=59701,tp_dst=8999 actions=output:6
 cookie=0x0, duration=1.166s, table=0, n_packets=346, n_bytes=513118, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=52249,tp_dst=8999 actions=output:2
 cookie=0x0, duration=1.209s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=56454,tp_dst=9000 actions=output:5
 cookie=0x0, duration=2.905s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:84:dc:55:7c:95,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,tp_src=38652,tp_dst=9000 actions=output:3
 cookie=0x0, duration=1.214s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=7,vlan_tci=0x0000,dl_src=c6:ce:98:87:f7:03,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=43006 actions=output:1
 cookie=0x0, duration=2.88s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=62:d0:1d:af:00:64,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.4,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=48682 actions=output:1
 cookie=0x0, duration=2.924s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=c6:ce:98:87:f7:03,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=42990,tp_dst=9000 actions=output:7
 cookie=0x0, duration=1.201s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=46578,tp_dst=9000 actions=output:2
 cookie=0x0, duration=1.203s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=3,vlan_tci=0x0000,dl_src=1e:84:dc:55:7c:95,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=38668 actions=output:1
 cookie=0x0, duration=2.911s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=46558,tp_dst=9000 actions=output:2
